,time,dist,jdif_Mg2,jdif_H,jdif_Cl,jact_Mg2,jact_H,jact_Cl,jmig_Mg2,jmig_H,jmig_Cl,jtot_Mg2,jtot_H,jtot_Cl
1510,43200,0.0685,1.941660000000001e-08,-2.9236999999999828e-09,1.1095300000000003e-07,-3.7039474721612113e-10,,-2.179977893573064e-10,9.770612142306019e-09,1.8612201205799326e-08,-3.196321302200981e-08,2.8816817395089906e-08,,7.87717891886329e-08
1511,43200,0.0695,1.7583299999999992e-08,-3.5464999999999455e-09,1.0029209999999992e-07,-3.047514162596098e-10,,-1.8350698573753807e-10,8.357445724734786e-09,1.9228987913065034e-08,-2.8032165014626812e-08,2.563599430847517e-08,,7.207642799963557e-08
1512,43200,0.0705,1.5731100000000002e-08,-3.996300000000035e-09,8.955879999999994e-08,-2.4514202141830704e-10,,-1.5176145958023419e-10,6.968702886010577e-09,1.9662227081309982e-08,-2.4132735263931747e-08,2.2454660864592273e-08,,6.527430327648796e-08
1513,43200,0.0715,1.3897799999999987e-08,-4.143350000000002e-09,7.898840000000007e-08,-1.9297410975365087e-10,,-1.2460225410768e-10,5.620100565971422e-09,1.975975134960831e-08,-2.0278685510643994e-08,1.9324926456217758e-08,,5.8585112235248394e-08
1514,43200,0.0725,1.2119940000000001e-08,-3.892499999999992e-09,6.883430000000001e-08,-1.478437600448344e-10,,-9.99718996564742e-11,4.358233249051799e-09,1.9425928286377497e-08,-1.6583204227203243e-08,1.6330329489006967e-08,,5.215112387314029e-08
1515,43200,0.0735,1.0417680000000002e-08,-3.0621000000000612e-09,5.920509999999997e-08,-1.0984886178100657e-10,,-7.968420953248466e-11,3.2148925372866594e-09,1.8506956874045348e-08,-1.3106863277964917e-08,1.3522723675505654e-08,,4.601855251250257e-08
1516,43200,0.0745,8.80866e-09,-1.4791499999999787e-09,5.031799999999998e-08,-7.891491815277731e-11,,-6.239912706842621e-11,2.211889120023019e-09,1.6781760669359707e-08,-9.86393024989968e-09,1.0941634201870241e-08,,4.039167062303188e-08
1517,43200,0.0755,7.302959999999999e-09,1.0985500000000183e-09,4.219109999999999e-08,-5.4407111835315813e-11,,-4.829644136559342e-11,1.3769413925587558e-09,1.407788257662753e-08,-6.8997743929733685e-09,8.625494280723439e-09,,3.524302916566103e-08
1518,43200,0.0765,5.905620000000002e-09,4.818049999999956e-09,3.494024000000003e-08,-3.5805397518918066e-11,,-3.668776681212725e-11,7.312938333905505e-10,1.0322285714136295e-08,-4.259520631979356e-09,6.601108435871634e-09,,3.064403160120855e-08
1519,43200,0.0775,4.627979999999999e-09,9.679350000000077e-09,2.8616100000000005e-08,-2.2308297146536487e-11,,-2.79369734897365e-11,2.7808194982055303e-10,5.5628648816640245e-09,-1.9621956643275528e-09,4.883753652674015e-09,,2.6625967362182714e-08
1520,43200,0.0785,3.484530000000001e-09,1.535374999999999e-08,2.3234970000000003e-08,-1.3040138996426772e-11,,-2.0455120755901028e-11,3.760623632918233e-12,1.0960531499592784e-10,-3.3723537198013934e-11,3.4752504846364925e-09,,2.318079134204609e-08
1521,43200,0.0795,2.5006589999999996e-09,2.1114649999999985e-08,1.878779999999999e-08,-7.175525057981602e-12,,-1.5237192298403792e-11,-1.231487201922439e-10,-5.38041135500653e-09,1.4788348521358854e-09,2.3703347547497744e-09,,2.0251397659837473e-08
1522,43200,0.0805,1.7006850000000003e-09,2.607974999999997e-08,1.5229339999999996e-08,-3.707791230545584e-12,,-1.1098557790981748e-11,-1.5222836079168028e-10,-1.0259530836568541e-08,2.582472648973653e-09,1.5447488479777745e-09,,1.7800714091182667e-08
