        time	        dist	           H	         Mg2	          Cl	      gammaH	    gammaMg2	     gammaCl	   potential	     current	
           0	  1.1450e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.1550e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.1650e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.1750e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.1850e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.1950e-01	  1.0004e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
        3600	  5.0000e-04	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -1.6539e-14	  0.0000e+00	
        3600	  1.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -4.9621e-14	  0.0000e+00	
        3600	  2.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -8.2700e-14	  0.0000e+00	
        3600	  3.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -1.1578e-13	  0.0000e+00	
        3600	  4.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -1.4883e-13	  0.0000e+00	
        3600	  5.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -1.8182e-13	  0.0000e+00	
        3600	  6.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -2.1468e-13	  0.0000e+00	
        3600	  7.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -2.4716e-13	  0.0000e+00	
        3600	  8.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -2.7866e-13	  0.0000e+00	
        3600	  9.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -3.0759e-13	  0.0000e+00	
        3600	  1.0500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -3.2976e-13	  0.0000e+00	
        3600	  1.1500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -3.3419e-13	  0.0000e+00	
        3600	  1.2500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -2.9204e-13	  0.0000e+00	
        3600	  1.3500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	 -1.2757e-13	  0.0000e+00	
        3600	  1.4500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  3.5807e-13	  0.0000e+00	
        3600	  1.5500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  1.6870e-12	  0.0000e+00	
        3600	  1.6500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  5.2300e-12	  0.0000e+00	
